"Institution","All_agencies","DOC","DOD","DOE","ED","EPA","HHS","NASA","NSF","USDA","Othera"
"   Tufts U.","91590.4","0","2705","959","0","0","56435.3","250.9","16337.2","8837.4","6065.7"
"   SUNY, Stony Brook U., Stony Brook","91507.5","188.2","1527.7","9191.8","0","0","51450.9","2514.5","26009.2","32.4","592.8"
"   George Washington U.","91284.8","116.6","2515","1370","649.3","0","76233.2","492.6","8192.6","0","1715.4"
"   TX A&M U., College Station","91190.2","3044.2","1900.1","9104.5","0","125","18157.2","2753","25144.8","30250.7","710.6"
"   U. HI, Manoa","89833.4","222.3","364.2","0","150","0","36994.8","0","36351.7","15750.4","0"
"   U. TX, Health Science Ctr., Houston","89376.2","0","3424","0","0","0","84905.2","525.6","521.3","0","0"
"   U. TX, Medical Branch","86088.3","0","2637.3","0","523","0","80382","2066","480","0","0"
"   U. CA, Santa Cruz","85721.9","681.8","1044.2","3566.5","0","0","28819.1","26316.8","23574.9","1218.4","500.1"
"   Georgetown U.","84017.2","313.8","21089.3","260","171.8","0","49344.9","1413.8","5867.3","0","5556.2"
"   UT State U.","81125.9","289.3","45088.8","463","663.7","0","5004.6","729.4","17260.7","11396.2","230.2"
"   U. MA, Amherst","80945.7","223.6","4171.9","4907.4","0","0","21678.9","3093.9","38289.2","8520.8","60"
"   U. DE","80445","3717.3","9632.8","3422.4","0","0","20206.1","2050.5","31971.9","9046.8","397.4"
"   U. MO, Columbia","79637.7","0","5383.1","1470.1","0","0","36073.3","982.9","14226.3","21502.1","0"
"   NM State U.","78835.4","0","20668.6","3602.5","0","0","8406.9","31710.3","6832.8","6312.8","1301.5"
"   U. TX, Health Science Ctr., San Antonio","78126.7","0","6902.7","0","0","10.8","69979.6","0","1233.6","0","0"
"   Temple U.","77571.2","0","5958.9","1331.6","1071.9","0","56853.9","325","11427.9","500","102"
"   All other institutions","5221562.4","81329.4","622247.2","256948.2","87601.3","14161.2","2062782.4","160009.6","1340208.6","472823.5","123451"
