AFGHANISTAN,
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
SAUDI ARABIA,
Inbound tourism,
Arrivals - Thousands,"13,380"
Tourism expenditure in the country - US$ Mn,"8,690"
Travel - US$ Mn,"7,651"
Passenger transport - US$ Mn,"1,039"
Outbound tourism,
Departures - Thousands,"19,154"
Tourism expenditure in other countries - US$ Mn,"18,648"
Travel - US$ Mn,"17,660"
Passenger transport - US$ Mn,988
SENEGAL,
Inbound tourism,
Arrivals - Thousands,"1,063"
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
SERBIA,
Inbound tourism,
Arrivals - Thousands,922
Tourism expenditure in the country - US$ Mn,"1,238"
Travel - US$ Mn,"1,053"
Passenger transport - US$ Mn,185
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,"1,289"
Travel - US$ Mn,"1,117"
Passenger transport - US$ Mn,172
SERBIA AND MONTENEGRO,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
SEYCHELLES,
Inbound tourism,
Arrivals - Thousands,230
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
SIERRA LEONE,
Inbound tourism,
Arrivals - Thousands,81
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,59
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
SINGAPORE,
Inbound tourism,
Arrivals - Thousands,"11,899"
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,"19,057"
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,"8,647"
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,"24,578"
Passenger transport - US$ Mn,..
SINT EUSTATIUS,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
SINT MAARTEN,
Inbound tourism,
Arrivals - Thousands,467
Tourism expenditure in the country - US$ Mn,871
Travel - US$ Mn,857
Passenger transport - US$ Mn,14
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,115
Travel - US$ Mn,90
Passenger transport - US$ Mn,25
SLOVAKIA,
Inbound tourism,
Arrivals - Thousands,..
Arrivals - Thousands,"1,670"
Tourism expenditure in the country - US$ Mn,"2,634"
Travel - US$ Mn,"2,556"
Passenger transport - US$ Mn,78
Outbound tourism,
Departures - Thousands,"2,129"
Tourism expenditure in other countries - US$ Mn,"2,600"
Travel - US$ Mn,"2,367"
Passenger transport - US$ Mn,233
SLOVENIA,
Inbound tourism,
Arrivals - Thousands,"2,259"
Tourism expenditure in the country - US$ Mn,"2,976"
Travel - US$ Mn,"2,789"
Passenger transport - US$ Mn,187
Outbound tourism,
Departures - Thousands,"2,612"
Tourism expenditure in other countries - US$ Mn,"1,075"
Travel - US$ Mn,933
Passenger transport - US$ Mn,142
SOLOMON ISLANDS,
Inbound tourism,
Arrivals - Thousands,24.4
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,69.2
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,65.5
Passenger transport - US$ Mn,..
SOUTH AFRICA,
Inbound tourism,
Arrivals - Thousands,"9,537"
Tourism expenditure in the country - US$ Mn,"10,468"
Travel - US$ Mn,"9,245"
Passenger transport - US$ Mn,"1,223"
Outbound tourism,
Departures - Thousands,"5,168"
Tourism expenditure in other countries - US$ Mn,"6,490"
Travel - US$ Mn,"3,429"
Passenger transport - US$ Mn,"3,061"
SPAIN,
Inbound tourism,
Arrivals - Thousands,"60,661"
Tourism expenditure in the country - US$ Mn,"67,608"
Travel - US$ Mn,"60,384"
Passenger transport - US$ Mn,"7,224"
Outbound tourism,
Departures - Thousands,"11,246"
Tourism expenditure in other countries - US$ Mn,"22,565"
Travel - US$ Mn,"16,287"
Passenger transport - US$ Mn,"6,278"
SRI LANKA,
Inbound tourism,
Arrivals - Thousands,"1,275"
Tourism expenditure in the country - US$ Mn,"2,506"
Travel - US$ Mn,"1,715"
Passenger transport - US$ Mn,791
Outbound tourism,
Departures - Thousands,"1,262"
Tourism expenditure in other countries - US$ Mn,"1,808"
Travel - US$ Mn,"1,188"
Passenger transport - US$ Mn,620
SUDAN,
Inbound tourism,
Arrivals - Thousands,591
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,773
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,460
Passenger transport - US$ Mn,..
SURINAME,
Inbound tourism,
Arrivals - Thousands,249
Tourism expenditure in the country - US$ Mn,92
Travel - US$ Mn,84
Passenger transport - US$ Mn,8
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,75
Travel - US$ Mn,70
Passenger transport - US$ Mn,5
SWAZILAND,
Inbound tourism,
Arrivals - Thousands,968
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,"1,573"
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
SWEDEN,
Inbound tourism,
Arrivals - Thousands,"11,635"
Arrivals - Thousands,"5,229"
Tourism expenditure in the country - US$ Mn,"13,910"
Travel - US$ Mn,"11,476"
Passenger transport - US$ Mn,"2,434"
Outbound tourism,
Departures - Thousands,"15,917"
Tourism expenditure in other countries - US$ Mn,"19,944"
Travel - US$ Mn,"17,564"
Passenger transport - US$ Mn,"2,380"
SWITZERLAND,
Inbound tourism,
Arrivals - Thousands,"8,967"
Tourism expenditure in the country - US$ Mn,"19,992"
Travel - US$ Mn,"16,535"
Passenger transport - US$ Mn,"3,457"
Outbound tourism,
Departures - Thousands,"12,403"
Tourism expenditure in other countries - US$ Mn,"17,935"
Travel - US$ Mn,"14,907"
Passenger transport - US$ Mn,"3,028"
SYRIAN ARAB REPUBLIC,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
"TAIWAN, Province of China",
Inbound tourism,
Arrivals - Thousands,"8,016"
Tourism expenditure in the country - US$ Mn,"15,136"
Travel - US$ Mn,"12,677"
Passenger transport - US$ Mn,"2,459"
Outbound tourism,
Departures - Thousands,"11,053"
Tourism expenditure in other countries - US$ Mn,"14,152"
Travel - US$ Mn,"12,304"
Passenger transport - US$ Mn,"1,848"
TAJIKISTAN,
Inbound tourism,
Arrivals - Thousands,208
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,56.9
Travel - US$ Mn,2.9
Passenger transport - US$ Mn,54
Outbound tourism,
Departures - Thousands,15
Tourism expenditure in other countries - US$ Mn,14.1
Travel - US$ Mn,7.2
Passenger transport - US$ Mn,6.9
THAILAND,
Inbound tourism,
Arrivals - Thousands,"26,547"
Tourism expenditure in the country - US$ Mn,"46,042"
Travel - US$ Mn,"42,082"
Passenger transport - US$ Mn,"3,960"
Outbound tourism,
Departures - Thousands,"5,970"
Tourism expenditure in other countries - US$ Mn,"8,385"
Travel - US$ Mn,"6,650"
Passenger transport - US$ Mn,"1,735"
THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,
Inbound tourism,
Arrivals - Thousands,400
Tourism expenditure in the country - US$ Mn,270
Travel - US$ Mn,267
Passenger transport - US$ Mn,3
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,168
Travel - US$ Mn,131
Passenger transport - US$ Mn,37
TIMOR-LESTE,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,29
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,57
Travel - US$ Mn,40
Passenger transport - US$ Mn,17
TOGO,
Inbound tourism,
Arrivals - Thousands,327
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
TONGA,
Inbound tourism,
Arrivals - Thousands,45
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
TRINIDAD AND TOBAGO,
Inbound tourism,
Arrivals - Thousands,434
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
TUNISIA,
Inbound tourism,
Arrivals - Thousands,"6,269"
Tourism expenditure in the country - US$ Mn,"2,863"
Travel - US$ Mn,"2,191"
Passenger transport - US$ Mn,672
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,768
Travel - US$ Mn,675
Passenger transport - US$ Mn,93
TURKEY,
Inbound tourism,
Arrivals - Thousands,"37,795"
Tourism expenditure in the country - US$ Mn,"34,863"
Travel - US$ Mn,"27,997"
Passenger transport - US$ Mn,"6,866"
Outbound tourism,
Departures - Thousands,"7,526"
Tourism expenditure in other countries - US$ Mn,"5,268"
Travel - US$ Mn,"4,817"
Passenger transport - US$ Mn,451
TURKMENISTAN,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
TURKS AND CAICOS ISLANDS,
Inbound tourism,
Arrivals - Thousands,291
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
TUVALU,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
UGANDA,
Inbound tourism,
Arrivals - Thousands,"1,206"
Tourism expenditure in the country - US$ Mn,"1,204"
Travel - US$ Mn,"1,184"
Passenger transport - US$ Mn,20
Outbound tourism,
Departures - Thousands,378
Tourism expenditure in other countries - US$ Mn,592
Travel - US$ Mn,453
Passenger transport - US$ Mn,139
UKRAINE,
Inbound tourism,
Arrivals - Thousands,"24,671"
Tourism expenditure in the country - US$ Mn,"5,946"
Travel - US$ Mn,"5,083"
Passenger transport - US$ Mn,863
Outbound tourism,
Departures - Thousands,"23,761"
Tourism expenditure in other countries - US$ Mn,"6,300"
Travel - US$ Mn,"5,763"
Passenger transport - US$ Mn,537
UNITED ARAB EMIRATES,
Inbound tourism,
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,"11,564"
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,"17,699"
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
UNITED KINGDOM,
Inbound tourism,
Arrivals - Thousands,"32,813"
Arrivals - Thousands,"31,169"
Tourism expenditure in the country - US$ Mn,"49,404"
Travel - US$ Mn,"40,589"
Passenger transport - US$ Mn,"8,815"
Outbound tourism,
Departures - Thousands,"58,510"
Tourism expenditure in other countries - US$ Mn,"68,094"
Travel - US$ Mn,"52,490"
Passenger transport - US$ Mn,"15,604"
UNITED REPUBLIC OF TANZANIA,
Inbound tourism,
Arrivals - Thousands,"1,063"
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
UNITED STATES OF AMERICA,
Inbound tourism,
Arrivals - Thousands,"69,768"
Tourism expenditure in the country - US$ Mn,"217,219"
Travel - US$ Mn,"176,074"
Passenger transport - US$ Mn,"41,145"
Outbound tourism,
Departures - Thousands,"61,569"
Tourism expenditure in other countries - US$ Mn,"132,615"
Travel - US$ Mn,"95,271"
Passenger transport - US$ Mn,"37,344"
UNITED STATES VIRGIN ISLANDS,
Inbound tourism,
Arrivals - Thousands,570
Tourism expenditure in the country - US$ Mn,"1,232"
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
URUGUAY,
Inbound tourism,
Arrivals - Thousands,"2,683"
Tourism expenditure in the country - US$ Mn,"2,011"
Travel - US$ Mn,"1,920"
Passenger transport - US$ Mn,91
Outbound tourism,
Departures - Thousands,"2,281"
Tourism expenditure in other countries - US$ Mn,"1,466"
Travel - US$ Mn,"1,312"
Passenger transport - US$ Mn,154
UZBEKISTAN,
Inbound tourism,
Arrivals - Thousands,"1,969"
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
VANUATU,
Inbound tourism,
Arrivals - Thousands,110
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,26
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
VENEZUELA,
Inbound tourism,
Arrivals - Thousands,986
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,"1,931"
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
VIET NAM,
Inbound tourism,
Arrivals - Thousands,"7,572"
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,"7,530"
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,"2,050"
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
YEMEN,
Inbound tourism,
Arrivals - Thousands,990
Tourism expenditure in the country - US$ Mn,"1,097"
Travel - US$ Mn,940
Passenger transport - US$ Mn,157
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,161
Travel - US$ Mn,86
Passenger transport - US$ Mn,75
ZAMBIA,
Inbound tourism,
Arrivals - Thousands,915
Tourism expenditure in the country - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
ZIMBABWE,
Inbound tourism,
Arrivals - Thousands,"1,833"
Arrivals - Thousands,..
Tourism expenditure in the country - US$ Mn,846
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
Outbound tourism,
Departures - Thousands,..
Tourism expenditure in other countries - US$ Mn,..
Travel - US$ Mn,..
Passenger transport - US$ Mn,..
